carbonsource,experiment,cellno,ID,time,recovery_time,observation
gly2,231215,2,231215_gly2_2,32.9452,27.2594,0.258853875
gly2,231215,2,231215_gly2_2,33.3346,27.6488,0.264309217
gly2,231215,2,231215_gly2_2,33.7241,28.0383,0.293843366
gly2,231215,2,231215_gly2_2,34.1135,28.4277,0.360974152
gly2,231215,2,231215_gly2_2,34.5029,28.8171,0.310487827
gly2,231215,2,231215_gly2_2,34.8923,29.2065,0.297995216
gly2,231215,2,231215_gly2_2,35.2817,29.5959,0.339940006
gly2,231215,2,231215_gly2_2,35.6712,29.9854,0.337556444
gly2,231215,2,231215_gly2_2,36.0606,30.3748,0.274434566
gly2,231215,2,231215_gly2_2,36.45,30.7642,0.312428812
gly2,231215,2,231215_gly2_2,36.8394,31.1536,0.324556531
gly2,231215,2,231215_gly2_2,37.2288,31.543,0.326073921
gly2,231215,2,231215_gly2_2,37.6183,31.9325,0.24575468
gly2,231215,2,231215_gly2_2,38.0077,32.3219,0.251756413
gly2,231215,2,231215_gly2_2,38.3971,32.7113,0.404492709
gly2,231215,2,231215_gly2_2,38.7865,33.1007,0.277841468
gly2,231215,2,231215_gly2_2,39.1759,33.4901,0.273692482
gly2,231215,2,231215_gly2_2,39.5654,33.8796,0.38172016
gly2,231215,2,231215_gly2_2,39.9548,34.269,0.292776218
gly2,231215,2,231215_gly2_2,40.3442,34.6584,0.340752995
gly2,231215,2,231215_gly2_2,40.7336,35.0478,0.357535229
gly2,231215,2,231215_gly2_2,41.1231,35.4373,0.368312507
gly2,231215,2,231215_gly2_2,41.5125,35.8267,0.293938503
gly2,231215,2,231215_gly2_2,41.9019,36.2161,0.313862782
gly2,231215,2,231215_gly2_2,42.2913,36.6055,0.294917548
gly2,231215,3,231215_gly2_3,7.5063,0,0.174021264
gly2,231215,3,231215_gly2_3,7.9705,0.4642,0.136381481
gly2,231215,3,231215_gly2_3,8.4346,0.9283,0.168883814
gly2,231215,3,231215_gly2_3,8.8988,1.3925,0.138829261
gly2,231215,3,231215_gly2_3,9.363,1.8567,0.144914531
gly2,231215,3,231215_gly2_3,9.8271,2.3208,0.161178763
gly2,231215,3,231215_gly2_3,10.2913,2.785,0.145007417
gly2,231215,3,231215_gly2_3,10.7555,3.2492,0.184085341
gly2,231215,3,231215_gly2_3,11.2197,3.7134,0.19636276
gly2,231215,3,231215_gly2_3,11.6838,4.1775,0.207953239
gly2,231215,3,231215_gly2_3,12.148,4.6417,0.204457249
gly2,231215,3,231215_gly2_3,12.6122,5.1059,0.176730215
gly2,231215,3,231215_gly2_3,13.0763,5.57,0.245492702
gly2,231215,3,231215_gly2_3,13.5405,6.0342,0.233442718
gly2,231215,3,231215_gly2_3,14.0047,6.4984,0.172109252
gly2,231215,3,231215_gly2_3,14.4688,6.9625,0.224087938
gly2,231215,3,231215_gly2_3,14.933,7.4267,0.217177545
gly2,231215,3,231215_gly2_3,15.3972,7.8909,0.204849242
gly2,231215,3,231215_gly2_3,15.8614,8.3551,0.213058302
gly2,231215,3,231215_gly2_3,16.3255,8.8192,0.252161003
gly2,231215,3,231215_gly2_3,16.7897,9.2834,0.188398672
gly2,231215,3,231215_gly2_3,17.2539,9.7476,0.304707838
