carbonsource,experiment,cellno,tag,time,recovery_time,observation
glu005,231215,3,231215_glu005_3,53.4881,45.3971,0.486996372
glu005,231215,3,231215_glu005_3,54.1656,46.0746,0.348838925
glu005,231215,3,231215_glu005_3,54.8432,46.7522,0.451634557
glu005,231215,3,231215_glu005_3,55.5208,47.4298,0.38923422
glu005,231215,3,231215_glu005_3,56.1983,48.1073,0.435542505
glu005,231215,3,231215_glu005_3,56.8759,48.7849,0.429372762
glu005,231215,3,231215_glu005_3,57.5535,49.4625,0.331509997
glu005,231215,3,231215_glu005_3,58.231,50.14,0.39203533
glu005,231215,3,231215_glu005_3,58.9086,50.8176,0.414716927
glu005,231215,3,231215_glu005_3,59.5862,51.4952,0.355616669
glu005,231215,3,231215_glu005_3,60.2637,52.1727,0.385253989
glu005,231215,3,231215_glu005_3,60.9413,52.8503,0.418053285
glu005,231215,3,231215_glu005_3,61.6189,53.5279,0.391943275
glu005,231215,3,231215_glu005_3,62.2964,54.2054,0.421888703
glu005,231215,3,231215_glu005_3,62.974,54.883,0.344830615
glu005,231215,3,231215_glu005_3,63.6516,55.5606,0.398653592
glu005,231215,3,231215_glu005_3,64.3291,56.2381,0.389019193
glu005,231215,3,231215_glu005_3,65.0067,56.9157,0.399244627
glu005,231215,3,231215_glu005_3,65.6843,57.5933,0.364457102
glu005,231215,3,231215_glu005_3,66.3618,58.2708,0.421847061
glu005,231215,3,231215_glu005_3,67.0394,58.9484,0.407472862
glu005,231215,3,231215_glu005_3,67.717,59.626,0.392166492
glu005,231215,3,231215_glu005_3,68.3945,60.3035,0.423144181
glu005,231215,3,231215_glu005_3,69.0721,60.9811,0.429488429
glu005,231215,3,231215_glu005_3,69.7497,61.6587,0.449761264
glu005,231215,3,231215_glu005_3,70.4272,62.3362,0.365196141
glu005,231215,3,231215_glu005_3,71.1048,63.0138,0.383555948
glu005,231215,3,231215_glu005_3,71.7824,63.6914,0.382350938
glu005,231215,4,231215_glu005_4,8.4455,0,0.074052393
glu005,231215,4,231215_glu005_4,9.0013,0.5558,0.116133427
glu005,231215,4,231215_glu005_4,9.5571,1.1116,0.092919904
glu005,231215,4,231215_glu005_4,10.1129,1.6674,0.124762129
glu005,231215,4,231215_glu005_4,10.6687,2.2232,0.148097122
glu005,231215,4,231215_glu005_4,11.2245,2.779,0.142699124
glu005,231215,4,231215_glu005_4,11.7803,3.3348,0.161656588
glu005,231215,4,231215_glu005_4,12.3361,3.8906,0.147583404
glu005,231215,4,231215_glu005_4,12.8919,4.4464,0.125387237
glu005,231215,4,231215_glu005_4,13.4477,5.0022,0.126007204
glu005,231215,4,231215_glu005_4,14.0035,5.558,0.152685556
glu005,231215,4,231215_glu005_4,14.5593,6.1138,0.145383433
glu005,231215,4,231215_glu005_4,15.1151,6.6696,0.166472223
glu005,231215,4,231215_glu005_4,15.6709,7.2254,0.159999088
glu005,231215,4,231215_glu005_4,16.2267,7.7812,0.167195163
glu005,231215,4,231215_glu005_4,16.7825,8.337,0.180687765
glu005,231215,4,231215_glu005_4,17.3383,8.8928,0.165965731
glu005,231215,4,231215_glu005_4,17.8941,9.4486,0.179033702
glu005,231215,4,231215_glu005_4,18.4499,10.0044,0.144339094
glu005,231215,4,231215_glu005_4,19.0057,10.5602,0.137275211
glu005,231215,4,231215_glu005_4,19.5615,11.116,0.164596444
glu005,231215,4,231215_glu005_4,20.1172,11.6717,0.151835269
glu005,231215,4,231215_glu005_4,20.673,12.2275,0.173371213
glu005,231215,4,231215_glu005_4,21.2288,12.7833,0.188672738
glu005,231215,4,231215_glu005_4,21.7846,13.3391,0.190653421
glu005,231215,4,231215_glu005_4,22.3404,13.8949,0.206051952
glu005,231215,4,231215_glu005_4,22.8962,14.4507,0.191851737
glu005,231215,4,231215_glu005_4,23.452,15.0065,0.183255322
glu005,231215,4,231215_glu005_4,24.0078,15.5623,0.171870732
glu005,231215,4,231215_glu005_4,24.5636,16.1181,0.182497985
glu005,231215,4,231215_glu005_4,25.1194,16.6739,0.156159102
glu005,231215,4,231215_glu005_4,25.6752,17.2297,0.18037395
glu005,231215,4,231215_glu005_4,26.231,17.7855,0.209407679
glu005,231215,4,231215_glu005_4,26.7868,18.3413,0.180352277
glu005,231215,4,231215_glu005_4,27.3426,18.8971,0.251697715
glu005,231215,4,231215_glu005_4,27.8984,19.4529,0.235947423
glu005,231215,4,231215_glu005_4,28.4542,20.0087,0.185309242
glu005,231215,4,231215_glu005_4,29.01,20.5645,0.234444647
glu005,231215,4,231215_glu005_4,29.5658,21.1203,0.181340135
glu005,231215,4,231215_glu005_4,30.1216,21.6761,0.17927849
glu005,231215,4,231215_glu005_4,30.6774,22.2319,0.18718502
glu005,231215,4,231215_glu005_4,31.2332,22.7877,0.235082892
glu005,231215,4,231215_glu005_4,31.789,23.3435,0.256230919
glu005,231215,4,231215_glu005_4,32.3448,23.8993,0.198190653
glu005,231215,4,231215_glu005_4,32.9006,24.4551,0.202901038
glu005,231215,4,231215_glu005_4,33.4564,25.0109,0.235962675
glu005,231215,4,231215_glu005_4,34.0122,25.5667,0.233674524
glu005,231215,4,231215_glu005_4,34.568,26.1225,0.201226415
glu005,231215,4,231215_glu005_4,35.1238,26.6783,0.143639375
glu005,231215,4,231215_glu005_4,35.6796,27.2341,0.204707755
glu005,231215,4,231215_glu005_4,36.2354,27.7899,0.2094461
glu005,231215,4,231215_glu005_4,36.7912,28.3457,0.20856799
glu005,231215,4,231215_glu005_4,37.347,28.9015,0.259501051
