"carbonsource","cell_area_cyto","cell_area_nucleus","cellno","experiment","measurement_count","ID","time","measured_nuc_area","measured_cyto_area","BG_area","REF_area","ROI_nuc","ROI_cyto","BG","REF","REF_BG","logref","MID","a","r","y_start",".fitted",".resid","recovery_time","ROI_nuc_BG","ROI_cyto_BG","frap_norm","normREF","fullnormREF","normint","bleach_corrected_nucleus","bleach_corrected_nucleus_zeroes","fraptest","reftest","bleach_corrected_nucleus_test","normint_cyto","normint_nuc_zero","bleach_depth_nuc","bleached_volume","gap_ratio_nuc","corr_normint_nuc","tag"
"glu005",13.747,15.756,7,231215,30,"231215-glu005-7-30",21.0106,2.1801,NA,4.8108,54.147,5.88,NA,1.994,8.385,6.391,2.00026304380275,"glu005-231215-7",9.94051056261565,-0.0366149697434942,2.07103,6.67682779692291,-0.285827796922906,10.5035,3.886,NA,0.0462840821757533,12.9719503679123,0.6631944277504,0.299569447136685,5.19407760156454,0.0752669407479916,0.172643588285471,0.576305727889193,0.199614894466273,NA,0.184505678857178,0.868984574921808,0.207549504950495,22.3012504950495,0.0134328542340343,"231215_glu005_7"
"glu005",13.747,15.756,7,231215,31,"231215-glu005-7-31",21.4483,2.1801,NA,4.8108,54.147,5.637,NA,2.11,8.493,6.383,1.99918006007703,"glu005-231215-7",9.94051056261565,-0.0366149697434942,2.07103,6.60360190687611,-0.220601906876105,10.9412,3.527,NA,0.0323472395875153,12.9557125955851,0.662364267302583,0.272235122072861,4.73313435198093,0.0537617983168707,0.156694270685243,0.57558433126533,0.18191645704213,NA,0.152641710506927,0.868984574921808,0.207549504950495,22.3012504950495,0.0122071684784354,"231215_glu005_7"
"glu005",13.747,15.756,7,231215,32,"231215-glu005-7-32",21.8859,2.1801,NA,4.8108,54.147,5.913,NA,1.95,8.004,6.054,1.95359483181386,"glu005-231215-7",9.94051056261565,-0.0366149697434942,2.07103,6.53155654057489,-0.47755654057489,11.3788,3.963,NA,0.0481767398111931,12.2879342086279,0.628223918886078,0.322511492388802,5.33955154031982,0.0820539753249691,0.176064472561842,0.545916895108931,0.205242160844411,NA,0.211249511093627,0.868984574921808,0.207549504950495,22.3012504950495,0.0144615878136697,"231215_glu005_7"
"glu005",13.747,15.756,7,231215,33,"231215-glu005-7-33",22.3236,2.1801,NA,4.8108,54.147,7.033,NA,2.202,8.162,5.96,1.94017947434633,"glu005-231215-7",9.94051056261565,-0.0366149697434942,2.07103,6.46064026495611,-0.500640264956106,11.8165,4.831,NA,0.112412392892784,12.097140383783,0.618469533624219,0.399350577635378,6.53514883773638,0.137834139573893,0.214627168040944,0.537440484778531,0.251220991814936,NA,0.300821804341851,0.868984574921808,0.207549504950495,22.3012504950495,0.0179070934934356,"231215_glu005_7"
"glu005",13.747,15.756,7,231215,34,"231215-glu005-7-34",22.7612,2.1801,NA,4.8108,54.147,8.167,NA,2.042,8.442,6.4,2.00148000021012,"glu005-231215-7",9.94051056261565,-0.0366149697434942,2.07103,6.39086727823778,0.00913272176222435,12.2541,6.125,NA,0.177450991637894,12.9902178617804,0.664128358254195,0.471508643286181,8.31882286030869,0.221050813081442,0.272115794711402,0.57711729909104,0.319816567570762,NA,0.384937373859075,0.868984574921808,0.207549504950495,22.3012504950495,0.0211426997508883,"231215_glu005_7"
"glu005",13.747,15.756,7,231215,35,"231215-glu005-7-35",23.1989,2.1801,NA,4.8108,54.147,7.147,NA,2.205,8.384,6.179,1.97116009759435,"glu005-231215-7",9.94051056261565,-0.0366149697434942,2.07103,6.32218776960463,-0.143187769604626,12.6918,4.942,NA,0.118950664724303,12.5416494012408,0.64119517588323,0.394047054090913,6.73901246416946,0.147345324143639,0.219558572647142,0.557188717356803,0.259103922841767,NA,0.294639419886736,0.868984574921808,0.207549504950495,22.3012504950495,0.0176692806611174,"231215_glu005_7"
"glu005",13.747,15.756,7,231215,36,"231215-glu005-7-36",23.6365,2.1801,NA,4.8108,54.147,6.733,NA,2.012,8.147,6.135,1.9650122509288,"glu005-231215-7",9.94051056261565,-0.0366149697434942,2.07103,6.25461548944934,-0.119615489449338,13.1294,4.721,NA,0.0952064143887862,12.4523416534411,0.636629293420232,0.379125479479228,6.46345689707853,0.134489377726522,0.20974019050327,0.553221035925552,0.248531375892871,NA,0.277245151689058,0.868984574921808,0.207549504950495,22.3012504950495,0.0170001892747399,"231215_glu005_7"
"glu005",13.747,15.756,7,231215,37,"231215-glu005-7-37",24.0741,2.1801,NA,4.8108,54.147,7.217,NA,2.088,7.964,5.876,1.9280370875206,"glu005-231215-7",9.94051056261565,-0.0366149697434942,2.07103,6.18811727271226,-0.31211727271226,13.567,5.129,NA,0.122965393041902,11.9266437743471,0.609752848922133,0.430045543158747,7.05019117468278,0.161863255574822,0.227866434461188,0.529865820227961,0.271116468750314,NA,0.336603313768732,0.868984574921808,0.207549504950495,22.3012504950495,0.0192834721646757,"231215_glu005_7"
"glu005",13.747,15.756,7,231215,38,"231215-glu005-7-38",24.5118,2.1801,NA,4.8108,54.147,6.03,NA,2.083,7.844,5.761,1.91117080810854,"glu005-231215-7",9.94051056261565,-0.0366149697434942,2.07103,6.12266121206059,-0.36166121206059,14.0047,3.947,NA,0.0548870714277521,11.6932257971433,0.597819292484753,0.337545863602863,5.44719667294255,0.0870761204830983,0.175353639465454,0.519495743759919,0.209491645921472,NA,0.228775267716927,0.868984574921808,0.207549504950495,22.3012504950495,0.0151357370600268,"231215_glu005_7"
"glu005",13.747,15.756,7,231215,39,"231215-glu005-7-39",24.9494,2.1801,NA,4.8108,54.147,6.17,NA,2.042,8.077,6.035,1.95089769056635,"glu005-231215-7",9.94051056261565,-0.0366149697434942,2.07103,6.05826041251728,-0.0232604125172848,14.4423,4.128,NA,0.0629165280629509,12.2493694993507,0.626252287822511,0.336996936880612,5.71982782513573,0.0997956293692166,0.183394938868354,0.544203578127254,0.219996234608029,NA,0.228135376896007,0.868984574921808,0.207549504950495,22.3012504950495,0.0151111228922082,"231215_glu005_7"
